球団,推定年俸,守備,年数,年齢,身長,体重,血液型,投打,年,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,球団勝率,プレーオフ,球団平均得点,球団打率
c,21000,外野手,11,29,177,90,AB型,右左,2017,0.308,143,651,556,171,23,92,13,83,4,113,2,6,0.39799999999999996,0.505,0.903,7.7,7.52,0.633,2,5.15,0.273
c,19000,内野手,7,28,171,72,A型,右右,2017,0.271,138,629,565,153,14,56,8,32,1,107,30,9,0.311,0.405,0.716,4.1,4.01,0.633,2,5.15,0.273
c,14000,内野手,5,29,171,85,A型,右左,2017,0.29,143,679,565,164,8,60,35,89,15,120,6,5,0.39799999999999996,0.40700000000000003,0.805,6.41,6.26,0.633,2,5.15,0.273
c,11500,内野手,7,38,196,126,不明,右右,2017,0.265,116,405,344,91,27,78,0,50,8,111,0,8,0.368,0.532,0.9,6.8,6.9,0.633,2,5.15,0.273
c,11000,内野手,20,41,189,102,B型,右右,2017,0.292,100,288,243,71,9,48,2,40,1,56,0,7,0.389,0.461,0.85,6.55,6.54,0.633,2,5.15,0.273
c,9000,外野手,6,24,181,96,A型,右右,2017,0.3,115,512,437,131,26,90,16,62,6,80,0,12,0.389,0.547,0.9359999999999999,7.44,7.4,0.633,2,5.15,0.273
c,9000,捕手,17,39,177,90,A型,右右,2017,0.204,77,167,147,30,1,12,1,10,0,33,8,8,0.252,0.252,0.503,1.36,1.54,0.633,2,5.15,0.273
c,6500,外野手,11,33,176,96,B型,右左,2017,0.326,120,387,350,114,14,77,0,31,0,45,0,8,0.375,0.534,0.909,7.26,7.08,0.633,2,5.15,0.273
c,5000,捕手,12,30,177,91,B型,右右,2017,0.275,106,329,287,79,6,35,0,22,7,45,10,12,0.33899999999999997,0.39,0.7290000000000001,4.23,4.19,0.633,2,5.15,0.273
c,4600,内野手,11,29,181,81,O型,右左,2017,0.31,123,455,413,128,4,49,17,27,2,94,12,3,0.354,0.4,0.754,5.38,5.14,0.633,2,5.15,0.273
